定_;日本_;英_;;;;
TVPUnsupportedUpdateTypeTutGiveUpdate;Update タイプの tutGiveUpdate はサポ_トしていません;Update type of tutGiveUpdate is not yet supported;;;;
TVPErrorCode;エラ_コ_ド : ;error code : ;;;;
TVPUnsupportedJpegPalette;JPEG はパレット画像をサポ_トしていません;JPEG does not support palettized image;;;;
TVPLibpngError;libpng エラ_.;libpng error.;;;;
TVPUnsupportedColorTypePalette;Unsupported color type for palattized image;Unsupported color type for palattized image;;;;
TVPUnsupportedColorType;サポ_トしていないカラ_タイプ;Unsupported color type;;;;
TVPTooLargeImage;Too large image;Too large image;;;;
TVPPngSaveError;PNG save error.;PNG save error.;;;;
TVPTlgUnsupportedUniversalTransitionRule;TLG cannot be used as universal transition rule, province(_p) or mask(_m) images.;TLG cannot be used as universal transition rule, province(_p) or mask(_m) images.;;;;
TVPUnsupportedColorCount;Unsupported color count : ;Unsupported color count : ;;;;
TVPDataFlagMustBeZero;Data flag must be 0 (any flags are not yet supported);Data flag must be 0 (any flags are not yet supported);;;;
TVPUnsupportedColorTypeColon;サポ_トしていないカラ_タイプです : ;Unsupported color type : ;;;;
TVPUnsupportedExternalGolombBitLengthTable;外部 golomb ビット_テ_ブルはサポ_トしていません;External golomb bit length table is not yet supported.;;;;
TVPUnsupportedEntropyCodingMethod;サポ_トしていないエントロピ_コ_ドメソッドです;Unsupported entropy coding method;;;;
TVPInvalidTlgHeaderOrVersion;不正な TLG ヘッダ_か、サポ_トしていない TLG バ_ジョンです;Invalid TLG header or unsupported TLG version.;;;;
TVPTlgMalformedTagMissionColonAfterNameLength;Malformed TLG SDS tag structure, missing colon after name length;Malformed TLG SDS tag structure, missing colon after name length;;;;
TVPTlgMalformedTagMissionEqualsAfterName;Malformed TLG SDS tag structure, missing equals after name;Malformed TLG SDS tag structure, missing equals after name;;;;
TVPTlgMalformedTagMissionColonAfterVaueLength;Malformed TLG SDS tag structure, missing colon after value length;Malformed TLG SDS tag structure, missing colon after value length;;;;
TVPTlgMalformedTagMissionCommaAfterTag;Malformed TLG SDS tag structure, missing comma after a tag;Malformed TLG SDS tag structure, missing comma after a tag;;;;
TVPFileSizeIsZero;ファイルサイズがゼロです;File size is zero.;;;;
TVPMemoryAllocationError;メモリ_保に失_しました;Memory allocation error.;;;;
TVPFileReadError;ファイル__みエラ_;File read error.;;;;
TVPInvalidPrerenderedFontFile;シグネチャが_つからないか、プリレンダ_フォントファイルではありません;Signature not found or invalid pre-rendered font file.;;;;
TVPNot16BitUnicodeFontFile;16 ビット UNICODE フォントファイルではありません;Not a 16-bit UNICODE font file.;;;;
TVPInvalidHeaderVersion;不正なバ_ジョンのヘッダ_です;Invalid header version.;;;;
TVPTlgInsufficientMemory;SaveTLG6: メモリ不足です;SaveTLG6: Insufficient memory;;;;
TVPTlgTooLargeBitLength;SaveTLG6: ビット_が_すぎます (渡された画像が大きすぎる可能性があります);SaveTLG6: Too large bit length (given image may be too large);;;;
TVPCannotRetriveInterfaceFromDrawDevice;渡された Draw Device からインタ_フェイスを取得できません;Could not retrive interface from given draw device;;;;
